FOODID;FOODNAME;FOODTYPE;PROCESS;EDPORT;IGCLASS;IGCLASSP;FUCLASS;FUCLASSP
32318;MARJAPIIRAKKA, PULLAPOHJA, KEVYTMAITO, SOKERITON;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32319;MARJAPIIRAKKA, PULLAPOHJA, TÄYSMAITO, SOKERITON;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32320;MARJAPIIRAKKA, PULLAPOHJA, RASVATON MAITO, FRUKTOOSILLA MAKEUTETTU;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32321;MARJAPIIRAKKA, PULLAPOHJA, KEVYTMAITO, FRUKTOOSILLA MAKEUTETTU;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32322;MARJAPIIRAKKA, PULLAPOHJA, TÄYSMAITO, FRUKTOOSILLA MAKEUTETTU;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32323;MARJAPIIRAKKA, PULLAPOHJA, RASVATON MAITO, KEINOTEKOISESTI MAKEUTETTU;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32324;MARJAPIIRAKKA, PULLAPOHJA, KEVYTMAITO, KEINOTEKOISESTI MAKEUTETTU;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32325;MARJAPIIRAKKA, PULLAPOHJA, TÄYSMAITO, KEINOTEKOISESTI MAKEUTETTU;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32326;MARJAPIIRAKKA, PIIMÄTAIKINAPOHJA;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32327;MARJAPIIRAKKA, MUROPOHJA, SOKERITON;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32328;MARJAPIIRAKKA, MUROPOHJA, FRUKTOOSILLA MAKEUTETTU;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32329;MARJAPIIRAKKA, MUROPOHJA, KEINOTEKOISESTI MAKEUTETTU;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32330;MARJAPIIRAKKA, PULLAPOHJA, KANANMUNATON;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32331;MARJAPIIRAKKA, PULLAPOHJA, VESI, MAIDOTON, KANANMUNATON;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32332;RAHKAMARJAPIIRAKKA, MUROPOHJA;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32333;OMENAPIIRAKKA, PULLAPOHJA, TÄYSMAITO;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32335;RAPARPERIPIIRAKKA, PIIMÄTAIKINAPOHJA;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32336;RAPARPERIPIIRAKKA, PULLAPOHJA, RASVATON MAITO;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32338;MAKEAN PIIRAKAN PIIMÄTAIKINAPOHJA;DISH;BAK;100;DISH;NONINGR;BAKSWEET;CEBAKTOT
32341;MARGARIINI 60 %, FLORA REILUSTI SUOLATTU;FOOD;IND;100;VEGFATHI;FATTOT;VEGFATHI;FATTOT
32342;MARGARIINI 80 %, LEIVONTAAN JA RUOANLAITTOON;FOOD;IND;100;FATCOOK;FATTOT;FATCOOK;FATTOT
32343;KASVIRASVALEVITE 38 %, BECEL KEVYT;FOOD;IND;100;VEGFATLO;FATTOT;VEGFATLO;FATTOT
32344;KASVIÖLJYVALMISTE, JUOKSEVA, 82 %, FLORA CULINESSE;FOOD;IND;100;FATCOOK;FATTOT;FATCOOK;FATTOT
32348;KASVIÖLJYVALMISTE, JUOKSEVA, 82 %, BECEL;FOOD;IND;100;FATCOOK;FATTOT;FATCOOK;FATTOT
32350;KASVIRASVALEVITE 38 %, BECEL KEVYT OLIIVI;FOOD;IND;100;VEGFATLO;FATTOT;VEGFATLO;FATTOT
32354;KASVIÖLJYVALMISTE, JUOKSEVA, 80 %, KEIJU RYPSI;FOOD;IND;100;FATCOOK;FATTOT;FATCOOK;FATTOT
32357;MUNKINPAISTORASVA 100 %, SUNNUNTAI;FOOD;IND;100;FATCOOK;FATTOT;FATCOOK;FATTOT
32360;MARGARIINI 60 %, BENECOL LAKTOOSITON;FOOD;IND;100;VEGFATHI;FATTOT;VEGFATHI;FATTOT
32366;(ARC) RASVASEOS 60%, BUNGE MAKUISA;FOOD;IND;100;BUTTHIGH;FATTOT;BUTTEHIG;FATTOT
32367;MUKSU SOIJAJUOMA 1-3 V, LEIKKI-IKÄISELLE;FOOD;IND;100;LEGULIQ;LEGUTOT;VEGJUICE;VEGDITOT
32372;(ARC) KASVIRASVALEVITE 32%, BENECOL KEVYT OLIIVI;FOOD;IND;100;VEGFATLO;FATTOT;VEGFATHI;FATTOT
32374;(ARC)MARGARIINI 40 %, BENECOL;FOOD;IND;100;VEGFATLO;FATTOT;VEGFATHI;FATTOT
32379;JAUHELIHA-MAKARONIMUHENNOS, NAUDAN JAUHELIHA 17%;DISH;BOIL;100;DISH;NONINGR;MEATDISH;MEATDTOT
32380;JAUHELIHA-MAKARONIMUHENNOS, BROILERI;DISH;BOIL;100;DISH;NONINGR;POULTDIS;MEATDTOT
32381;SPAGETTIKASTIKEJAUHE, KASTIKEAINEKSET, KNORR;FOOD;DRIE;100;INGRMIS;INGRTOT;INGRMISC;MISCTOT
32382;JAUHELIHAKASTIKE, TOMAATTINEN, NAUDANLIHA 17 %, KASTIKEJAUHEESTA;DISH;BOIL;100;DISH;NONINGR;MEATSAUC;MEATDTOT
32383;JAUHELIHAKASTIKE, TOMAATTINEN, SIKA-NAUTA, KASTIKEJAUHEESTA;DISH;BOIL;100;DISH;NONINGR;MEATSAUC;MEATDTOT
32384;ATERIAKASTIKE, CURRYKASTIKE, UNCLE BEN'S, VALMISKASTIKE;DISH;MIX;100;DISH;NONINGR;SAVSAUCE;MISCTOT
32385;RAEJUUSTO, RASVAA 1,5 %;FOOD;IND;100;CHEEUNLO;MILKTOT;CHEESUNC;MILKDTOT
32386;ATERIAKASTIKE, TIKKA MASALA, UNCLE BEN'S, VALMISKASTIKE;DISH;MIX;100;DISH;NONINGR;SAVSAUCE;MISCTOT
32397;ATERIASALAATTI, TONNIKALASALAATTI, MAKARONI, VIHERSALAATTI, HERNE-MAISSI-PAPRIKA;DISH;MIX;100;DISH;NONINGR;SALADMIX;SALADTOT
32398;TONNIKALA-MAKARONIMUHENNOS, TONNIKALA VEDESSÄ;DISH;BOIL;100;DISH;NONINGR;FISHDISH;FISHDTOT
32401;MANTELIKALA, SEITI, KORPPUJAUHO, RUOKAKERMA 15 %;DISH;BAK;100;DISH;NONINGR;FISHDISH;FISHDTOT
32403;DIPPIKASTIKEJAUHE, SISÄLTÄÄ MAITOA, KASTIKEAINEKSET;FOOD;DRIE;100;INGRMIS;INGRTOT;INGRMISC;MISCTOT
32404;DIPPIKASTIKEJAUHE, MAIDOTON, KASTIKEAINEKSET;FOOD;DRIE;100;INGRMIS;INGRTOT;INGRMISC;MISCTOT
32405;KYLMÄ KASTIKE, KERMAVIILIKASTIKE, DIPPIKASTIKE, RASVAA 10-12 %, JAUHEESTA;DISH;MIX;100;DISH;NONINGR;MILKSAUC;MILKDTOT
32407;MEETVURSTI, ULTRAKEVYT, RASVAA 9 %;FOOD;IND;100;SAUSCUTS;MEATTOT;SAUSCUTS;MEATDTOT
